Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Year
"Thu, Aug 4, 2022",Phoenix Mercury,64,Connecticut Sun,77,2022
"Thu, Aug 4, 2022",Las Vegas Aces,80,Dallas Wings,82,2022
"Fri, Aug 5, 2022",Los Angeles Sparks,86,Atlanta Dream,88,2022
"Fri, Aug 5, 2022",Washington Mystics,83,Chicago Sky,93,2022
"Sat, Aug 6, 2022",Indiana Fever,91,Dallas Wings,95,2022
"Sat, Aug 6, 2022",New York Liberty,62,Phoenix Mercury,76,2022
"Sun, Aug 7, 2022",Connecticut Sun,91,Chicago Sky,94,2022
"Sun, Aug 7, 2022",Atlanta Dream,71,Minnesota Lynx,81,2022
"Sun, Aug 7, 2022",Las Vegas Aces,89,Seattle Storm,81,2022
"Sun, Aug 7, 2022",Los Angeles Sparks,79,Washington Mystics,76,2022
"Mon, Aug 8, 2022",New York Liberty,77,Dallas Wings,86,2022
"Tue, Aug 9, 2022",Seattle Storm,111,Chicago Sky,100,2022
"Tue, Aug 9, 2022",Connecticut Sun,97,Los Angeles Sparks,71,2022
"Tue, Aug 9, 2022",Atlanta Dream,90,Las Vegas Aces,97,2022
"Wed, Aug 10, 2022",New York Liberty,91,Dallas Wings,73,2022
"Wed, Aug 10, 2022",Minnesota Lynx,86,Phoenix Mercury,77,2022
"Thu, Aug 11, 2022",Connecticut Sun,93,Los Angeles Sparks,69,2022
"Thu, Aug 11, 2022",Chicago Sky,78,Las Vegas Aces,89,2022
"Fri, Aug 12, 2022",New York Liberty,80,Atlanta Dream,70,2022
"Fri, Aug 12, 2022",Washington Mystics,82,Indiana Fever,70,2022
"Fri, Aug 12, 2022",Seattle Storm,96,Minnesota Lynx,69,2022
"Fri, Aug 12, 2022",Dallas Wings,74,Phoenix Mercury,86,2022
"Sun, Aug 14, 2022",Minnesota Lynx,83,Connecticut Sun,90,2022
"Sun, Aug 14, 2022",Dallas Wings,116,Los Angeles Sparks,88,2022
"Sun, Aug 14, 2022",Seattle Storm,100,Las Vegas Aces,109,2022
"Sun, Aug 14, 2022",Atlanta Dream,83,New York Liberty,87,2022
"Sun, Aug 14, 2022",Chicago Sky,82,Phoenix Mercury,67,2022
"Sun, Aug 14, 2022",Indiana Fever,83,Washington Mystics,95,2022
"Wed, Aug 17, 2022",New York Liberty,98,Chicago Sky,91,2022
"Wed, Aug 17, 2022",Phoenix Mercury,63,Las Vegas Aces,79,2022
"Thu, Aug 18, 2022",Dallas Wings,68,Connecticut Sun,93,2022
"Thu, Aug 18, 2022",Washington Mystics,83,Seattle Storm,86,2022
"Sat, Aug 20, 2022",New York Liberty,62,Chicago Sky,100,2022
